S.No,Name,Date,Rating,Title,Review,Language,Translated_Review,Final_Review,cleaned_review,word_tokens,sent_tokens,filtered_tokens,lemmatized_tokens,normalized_review
1,Preeti B. 🇮🇳,Published date07/10/25,5,The face wash is really,"The face wash is really good, I'm writing this review after using it for 1 month and it really worked wonders for me, I've acne issue and mainly those under the skin one (hormonal acne) i do get those but because of this facewash my pimples won't last more than 3 days, it's really great. . . . I wou...",en,"The face wash is really good, I'm writing this review after using it for 1 month and it really worked wonders for me, I've acne issue and mainly those under the skin one (hormonal acne) i do get those but because of this facewash my pimples won't last more than 3 days, it's really great. . . . I wou...","The face wash is really good, I'm writing this review after using it for 1 month and it really worked wonders for me, I've acne issue and mainly those under the skin one (hormonal acne) i do get those but because of this facewash my pimples won't last more than 3 days, it's really great. . . . I wou...","the face wash is really good, i'm writing this review after using it for 1 month and it really worked wonders for me, i've acne issue and mainly those under the skin one hormonal acne i do get those but because of this facewash my pimples won't last more than 3 days, it's really great. . . . i wou...","['the', 'face', 'wash', 'is', 'really', 'good', ',', 'i', ""'m"", 'writing', 'this', 'review', 'after', 'using', 'it', 'for', '1', 'month', 'and', 'it', 'really', 'worked', 'wonders', 'for', 'me', ',', 'i', ""'ve"", 'acne', 'issue', 'and', 'mainly', 'those', 'under', 'the', 'skin', 'one', 'hormonal', 'acne', 'i', 'do', 'get', 'those', 'but', 'because', 'of', 'this', 'facewash', 'my', 'pimples', 'wo', ""n't"", 'last', 'more', 'than', '3', 'days', ',', 'it', ""'s"", 'really', 'great', '.', '.', '.', '.', 'i', 'wou', '...']","[""the face wash is really good, i'm writing this review after using it for 1 month and it really worked wonders for me, i've acne issue and mainly those under the skin one hormonal acne i do get those but because of this facewash my pimples won't last more than 3 days, it's really great. . . ."", 'i wou...']","['face', 'wash', 'good', 'writing', 'review', 'month', 'worked', 'wonders', 'acne', 'issue', 'mainly', 'skin', 'hormonal', 'acne', 'facewash', 'pimples', 'wo', 'days', 'great', 'wou']","['face', 'wash', 'good', 'writing', 'review', 'month', 'work', 'wonder', 'acne', 'issue', 'mainly', 'skin', 'hormonal', 'acne', 'facewash', 'pimple', 'will', 'day', 'great', 'wou']",face wash good writing review month work wonder acne issue mainly skin hormonal acne facewash pimple will day great wou
2,게임존 🇮🇳,Published date27/09/25,5,Worst purchasing experience,"Product is good but the main problem is the worst purchasing experience I was scammed in the name of minimalist support person and forced me to pay 6000/- since the person already have my name, order I'd, purchase products details, I have to believe on it and woo. . . I got scammed and even the mini...",en,"Product is good but the main problem is the worst purchasing experience I was scammed in the name of minimalist support person and forced me to pay 6000/- since the person already have my name, order I'd, purchase products details, I have to believe on it and woo. . . I got scammed and even the mini...","Product is good but the main problem is the worst purchasing experience I was scammed in the name of minimalist support person and forced me to pay 6000/- since the person already have my name, order I'd, purchase products details, I have to believe on it and woo. . . I got scammed and even the mini...","product is good but the main problem is the worst purchasing experience i was scammed in the name of minimalist support person and forced me to pay 6000 since the person already have my name, order i'd, purchase products details, i have to believe on it and woo. . . i got scammed and even the mini...","['product', 'is', 'good', 'but', 'the', 'main', 'problem', 'is', 'the', 'worst', 'purchasing', 'experience', 'i', 'was', 'scammed', 'in', 'the', 'name', 'of', 'minimalist', 'support', 'person', 'and', 'forced', 'me', 'to', 'pay', '6000', 'since', 'the', 'person', 'already', 'have', 'my', 'name', ',', 'order', 'i', ""'d"", ',', 'purchase', 'products', 'details', ',', 'i', 'have', 'to', 'believe', 'on', 'it', 'and', 'woo', '.', '.', '.', 'i', 'got', 'scammed', 'and', 'even', 'the', 'mini', '...']","[""product is good but the main problem is the worst purchasing experience i was scammed in the name of minimalist support person and forced me to pay 6000 since the person already have my name, order i'd, purchase products details, i have to believe on it and woo. . ."", 'i got scammed and even the mini...']","['product', 'good', 'main', 'problem', 'worst', 'purchasing', 'experience', 'scammed', 'minimalist', 'support', 'person', 'forced', 'pay', 'person', 'order', 'purchase', 'products', 'details', 'believe', 'woo', 'got', 'scammed', 'mini']","['product', 'good', 'main', 'problem', 'bad', 'purchase', 'experience', 'scamme', 'minimalist', 'support', 'person', 'force', 'pay', 'person', 'order', 'purchase', 'product', 'detail', 'believe', 'woo', 'get', 'scamme', 'mini']",product good main problem bad purchase experience scamme minimalist support person force pay person order purchase product detail believe woo get scamme mini
3,tanya k. 🇮🇳,Published date06/10/25,5,Amazing product,"It is really a heaven for people with acnes and it also somehow promote the skin texture 
I just love this product 
But after listening all this please don't raise price",en,"It is really a heaven for people with acnes and it also somehow promote the skin texture 
I just love this product 
But after listening all this please don't raise price","It is really a heaven for people with acnes and it also somehow promote the skin texture 
I just love this product 
But after listening all this please don't raise price",it is really a heaven for people with acnes and it also somehow promote the skin texture i just love this product but after listening all this please don't raise price,"['it', 'is', 'really', 'a', 'heaven', 'for', 'people', 'with', 'acnes', 'and', 'it', 'also', 'somehow', 'promote', 'the', 'skin', 'texture', 'i', 'just', 'love', 'this', 'product', 'but', 'after', 'listening', 'all', 'this', 'please', 'do', ""n't"", 'raise', 'price']","[""it is really a heaven for people with acnes and it also somehow promote the skin texture i just love this product but after listening all this please don't raise price""]","['heaven', 'people', 'acnes', 'promote', 'skin', 'texture', 'love', 'product', 'listening', 'raise', 'price']","['heaven', 'people', 'acnes', 'promote', 'skin', 'texture', 'love', 'product', 'listen', 'raise', 'price']",heaven people acnes promote skin texture love product listen raise price
4,RITIK C. 🇮🇳,Published date01/10/25,5,Nice,"Best product i have ever use works great and quality us good ,doest react or cause any problem",en,"Best product i have ever use works great and quality us good ,doest react or cause any problem","Best product i have ever use works great and quality us good ,doest react or cause any problem","best product i have ever use works great and quality us good ,doest react or cause any problem","['best', 'product', 'i', 'have', 'ever', 'use', 'works', 'great', 'and', 'quality', 'us', 'good', ',', 'doest', 'react', 'or', 'cause', 'any', 'problem']","['best product i have ever use works great and quality us good ,doest react or cause any problem']","['best', 'product', 'use', 'works', 'great', 'quality', 'good', 'doest', 'react', 'cause', 'problem']","['good', 'product', 'use', 'work', 'great', 'quality', 'good', 'doest', 'react', 'cause', 'problem']",good product use work great quality good doest react cause problem
5,Srikar P. 🇮🇳,Published date06/10/25,5,Well so far it's a,Well so far it's a good product,en,Well so far it's a good product,Well so far it's a good product,well so far it's a good product,"['well', 'so', 'far', 'it', ""'s"", 'a', 'good', 'product']","[""well so far it's a good product""]","['far', 'good', 'product']","['far', 'good', 'product']",far good product
6,Siddharth Y. 🇮🇳,Published date09/10/25,5,Worth it !!!!,Worth it !!!!,en,Worth it !!!!,Worth it !!!!,worth it !!!!,"['worth', 'it', '!', '!', '!', '!']",['worth it !!!!'],['worth'],['worth'],worth
7,Manisha B. 🇮🇳,Published date09/10/25,5,Best,Best product,en,Best product,Best product,best product,"['best', 'product']",['best product'],"['best', 'product']","['good', 'product']",good product
8,Akshat 🇮🇳,Published date28/09/25,5,It's good,It's good and it works,en,It's good and it works,It's good and it works,it's good and it works,"['it', ""'s"", 'good', 'and', 'it', 'works']","[""it's good and it works""]","['good', 'works']","['good', 'work']",good work
9,Vishva 🇮🇳,Published date09/10/25,5,Face wash,Very nice,en,Very nice,Very nice,very nice,"['very', 'nice']",['very nice'],['nice'],['nice'],nice
10,Bhawini S. 🇮🇳,Published date05/10/25,5,It is good,It is good,en,It is good,It is good,it is good,"['it', 'is', 'good']",['it is good'],['good'],['good'],good
